Wavelength,Excitation,Emission
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,5.780755,0
351,5.710258,0
352,5.498766,0
353,5.393021,0
354,5.252027,0
355,5.146281,0
356,5.075784,0
357,4.934791,0
358,4.864293,0
359,4.758548,0
360,4.688051,0
361,4.47656,0
362,4.441311,0
363,4.370814,0
364,4.194572,0
365,4.194572,0
366,3.947832,0
367,3.983081,0
368,3.947832,0
369,3.806838,0
370,3.77159,0
371,3.630596,0
372,3.52485,0
373,3.489602,0
374,3.489602,0
375,3.383856,0
376,3.313359,0
377,3.242862,0
378,3.207614,0
379,3.207614,0
380,3.137117,0
381,3.172365,0
382,3.137117,0
383,3.06662,0
384,2.996123,0
385,2.855129,0
386,2.925626,0
387,2.784631,0
388,2.714135,0
389,2.608389,0
390,2.467395,0
391,2.502644,0
392,2.36165,0
393,2.36165,0
394,2.291153,0
395,2.220656,0
396,2.326401,0
397,2.255904,0
398,2.220656,0
399,2.396898,0
400,2.467395,0
401,2.467395,0
402,2.678886,0
403,2.784631,0
404,2.925626,0
405,3.101868,0
406,3.242862,0
407,3.419105,0
408,3.630596,0
409,3.77159,0
410,3.947832,0
411,4.124074,0
412,4.370814,0
413,4.511808,0
414,4.688051,0
415,4.899542,0
416,5.146281,0
417,5.322524,0
418,5.63976,0
419,5.956996,0
420,6.309482,0
421,6.767713,0
422,7.190695,0
423,7.648925,0
424,8.142404,0
425,8.70638,0
426,9.340853,0
427,9.940078,0
428,10.6803,0
429,11.38527,0
430,12.19598,0
431,13.04195,0
432,13.95841,0
433,14.91012,0
434,15.82658,0
435,16.70779,0
436,17.76525,0
437,18.71696,0
438,19.80966,0
439,20.90236,0
440,21.99506,0
441,23.08777,0
442,24.28622,0
443,25.55516,0
444,26.92985,0
445,28.2693,0
446,29.71449,0
447,31.15968,0
448,32.74586,0
449,34.36729,0
450,36.09446,0
451,37.92739,0
452,39.83081,0
453,41.91047,0
454,44.13113,0
455,46.42228,0
456,48.78393,0
457,51.21607,0
458,53.68347,0
459,56.18611,0
460,58.54776,0
461,60.80367,0
462,62.95382,0
463,64.85725,0
464,66.44343,0
465,67.78288,0
466,68.84032,0
467,69.65104,0
468,70.25027,0
469,70.7085,0
470,71.02573,0
471,71.41347,0
472,71.76595,0
473,72.32993,0
474,72.99965,0
475,73.77512,0
476,74.86782,0
477,76.20726,0
478,77.65245,0
479,79.37962,0
480,81.31829,4.177063
481,83.53895,3.58034
482,85.72436,3.750833
483,88.01551,4.386627
484,90.34191,5.525463
485,92.52731,6.833015
486,94.64223,8.435821
487,96.58089,10.2917
488,98.16708,12.44284
489,99.36552,14.9314
490,99.96475,18.28531
491,100,22.12139
492,99.22454,26.55419
493,97.6736,31.58371
494,95.2767,37.16734
495,92.03384,43.43293
496,87.94501,49.86902
497,83.18646,56.21809
498,77.72295,63.43737
499,71.90694,69.0805
500,65.73846,74.72362
501,59.49947,79.67411
502,53.15474,85.32611
503,47.0215,89.67722
